Columna,Tipo,Nulos_finales,%_Completitud
SPRO_ins_SPRO_ESTU_NUCLEO_PREGRADO,object,0,100.0
SPRO_ins_SPRO_ESTU_SEMESTRECURSA,object,0,100.0
SPRO_ins_SPRO_ESTU_SNIES_PRGMACADEMICO,float64,0,100.0
SPRO_ins_SPRO_INST_CARACTER_ACADEMICO,object,0,100.0
SPRO_ins_SPRO_INST_COD_INSTITUCION,int64,0,100.0
SPRO_ins_SPRO_INST_NOMBRE_INSTITUCION,object,0,100.0
SPRO_ins_SPRO_INST_ORIGEN,object,0,100.0
SPRO_res_SPRO_MOD_COMPETEN_CIUDADA_PNAL,float64,0,100.0
SPRO_res_SPRO_MOD_COMPETEN_CIUDADA_PUNT,int64,0,100.0
SPRO_res_SPRO_MOD_COMUNI_ESCRITA_PNAL,float64,0,100.0
SPRO_res_SPRO_MOD_COMUNI_ESCRITA_PUNT,float64,0,100.0
SPRO_res_SPRO_MOD_INGLES_PNAL,float64,0,100.0
SPRO_res_SPRO_MOD_INGLES_PUNT,float64,0,100.0
SPRO_res_SPRO_MOD_LECTURA_CRITICA_PNAL,float64,0,100.0
SPRO_res_SPRO_MOD_LECTURA_CRITICA_PUNT,int64,0,100.0
SPRO_res_SPRO_MOD_RAZONA_CUANTITAT_PUNT,int64,0,100.0
SPRO_res_SPRO_MOD_RAZONA_CUANTITATIVO_PNAL,float64,0,100.0
SPRO_res_SPRO_PUNT_GLOBAL,int64,0,100.0
SPRO_soc_SPRO_ESTU_PAGOMATRICULABECA,object,0,100.0
SPRO_soc_SPRO_ESTU_PAGOMATRICULACREDITO,object,0,100.0
SPRO_soc_SPRO_ESTU_PAGOMATRICULAPADRES,object,0,100.0
SPRO_soc_SPRO_ESTU_PAGOMATRICULAPROPIO,object,0,100.0
SPRO_soc_SPRO_ESTU_VALORMATRICULAUNIVERSIDAD,object,0,100.0
SPRO_soc_SPRO_FAMI_CUANTOSCOMPARTEBANO,object,0,100.0
SPRO_soc_SPRO_FAMI_EDUCACIONMADRE,object,0,100.0
SPRO_soc_SPRO_FAMI_EDUCACIONPADRE,object,0,100.0
SPRO_soc_SPRO_FAMI_ESTRATOVIVIENDA,object,0,100.0
SPRO_soc_SPRO_FAMI_TIENEAUTOMOVIL,object,0,100.0
SPRO_soc_SPRO_FAMI_TIENECONSOLAVIDEOJUEGOS,object,0,100.0
SPRO_soc_SPRO_FAMI_TIENEHORNOMICROOGAS,object,0,100.0
SPRO_soc_SPRO_FAMI_TIENEINTERNET,object,0,100.0
SPRO_soc_SPRO_FAMI_TIENELAVADORA,object,0,100.0
SPRO_soc_SPRO_FAMI_TIENEMOTOCICLETA,object,0,100.0
SPRO_soc_SPRO_FAMI_TIENESERVICIOTV,object,0,100.0
SPRO_soc_SPRO_FAMI_TRABAJOLABORMADRE,object,0,100.0
SPRO_soc_SPRO_FAMI_TRABAJOLABORPADRE,object,0,100.0
STYT_ESTU_CONSECUTIVO,object,0,100.0
STYT_est_STYT_ESTU_CONSECUTIVO,object,0,100.0
STYT_est_STYT_PERIODO,int64,0,100.0
STYT_est_STYT_ESTU_COD_COLE_MCPIO_TERMINO,object,0,100.0
STYT_est_STYT_ESTU_COD_DEPTO_PRESENTACION,float64,0,100.0
STYT_est_STYT_ESTU_COD_MCPIO_PRESENTACION,int64,0,100.0
STYT_est_STYT_ESTU_COD_RESIDE_DEPTO,float64,0,100.0
STYT_est_STYT_ESTU_COD_RESIDE_MCPIO,float64,0,100.0
STYT_est_STYT_ESTU_CODDANE_COLE_TERMINO,object,0,100.0
STYT_est_STYT_ESTU_COLE_TERMINO,object,0,100.0
STYT_est_STYT_ESTU_COMOCAPACITOEXAMENSB11,object,0,100.0
STYT_est_STYT_ESTU_DEDICACIONINTERNET,object,0,100.0
STYT_est_STYT_ESTU_DEDICACIONLECTURADIARIA,object,0,100.0
STYT_est_STYT_ESTU_DEPTO_PRESENTACION,object,0,100.0
STYT_est_STYT_ESTU_DEPTO_RESIDE,object,0,100.0
STYT_est_STYT_ESTU_ESTADOINVESTIGACION,object,0,100.0
STYT_est_STYT_ESTU_ESTUDIANTE,object,0,100.0
STYT_est_STYT_ESTU_EXTERIOR,object,0,100.0
est_STYT_ESTU_FECHANACIMIENTO,object,0,100.0
STYT_est_STYT_ESTU_GENERO,object,0,100.0
STYT_est_STYT_ESTU_HORASSEMANATRABAJA,object,0,100.0
STYT_est_STYT_ESTU_INSE_INDIVIDUAL,object,0,100.0
STYT_est_STYT_ESTU_MCPIO_PRESENTACION,object,0,100.0
STYT_est_STYT_ESTU_MCPIO_RESIDE,object,0,100.0
